rank,name,usps,pop2021,pop2010,growth,density,aland_sqmi
58,Riverside,CA,334772,305466,0.0959,4120,81.258
59,Santa Ana,CA,333130,325327,0.024,12175,27.361
60,Corpus Christi,TX,327144,305272,0.0716,2048,159.703
61,Lexington,KY,324604,296848,0.0935,1144,283.637
62,San Juan,PR,323279,381931,-0.1536,8177,39.533
63,Stockton,CA,314835,292888,0.0749,5064,62.172
64,St. Paul,MN,310368,285510,0.0871,5971,51.978
65,Cincinnati,OH,307266,296980,0.0346,3948,77.836
66,Greensboro,NC,301094,269598,0.1168,2333,129.068
67,Pittsburgh,PA,299718,305283,-0.0182,5412,55.376
68,Irvine,CA,298739,213450,0.3996,4553,65.619
69,St. Louis,MO,294890,319336,-0.0766,4776,61.744
70,Lincoln,NE,293446,259455,0.131,3050,96.223
71,Orlando,FL,290520,239326,0.2139,2628,110.559
72,Durham,NC,287865,230727,0.2476,2565,112.221
73,Plano,TX,285537,261234,0.093,3983,71.682
74,Anchorage,AK,282958,293321,-0.0353,166,1706.8
75,Newark,NJ,282529,277175,0.0193,11702,24.144
76,Chula Vista,CA,281838,244648,0.152,5678,49.641
77,Fort Wayne,IN,276286,254161,0.0871,2497,110.636
78,Chandler,AZ,269123,236454,0.1382,4132,65.124
79,Toledo,OH,268609,287065,-0.0643,3337,80.489
80,St. Petersburg,FL,267121,245222,0.0893,4318,61.864
81,Reno,NV,266511,225652,0.1811,2451,108.744
82,Laredo,TX,265761,236807,0.1223,2513,105.743
83,Scottsdale,AZ,265249,217638,0.2188,1442,183.987
84,North Las Vegas,NV,265224,216836,0.2232,2706,98.015
85,Lubbock,TX,263648,231105,0.1408,1957,134.723
86,Madison,WI,263332,233730,0.1267,3319,79.339
87,Gilbert,AZ,262514,209493,0.2531,3834,68.475
88,Jersey City,NJ,258523,248324,0.0411,17534,14.744
89,Glendale,AZ,257233,226236,0.137,4176,61.592
90,Buffalo,NY,254290,261275,-0.0267,6298,40.378
91,Winston-Salem,NC,250765,230022,0.0902,1891,132.614
92,Chesapeake,VA,249787,223556,0.1173,738,338.51
93,Fremont,CA,247708,214553,0.1545,3198,77.465
94,Norfolk,VA,241056,242999,-0.008,4525,53.275
95,Irving,TX,236546,216859,0.0908,3527,67.06
96,Garland,TX,236366,227345,0.0397,4142,57.06
97,Paradise,NV,235087,223167,0.0534,5031,46.732
98,Arlington,VA,233464,207627,0.1244,8980,25.997
99,Richmond,VA,232866,204302,0.1398,3886,59.923
100,Hialeah,FL,230135,225470,0.0207,10664,21.581
101,Boise,ID,229993,209576,0.0974,2749,83.674
102,Spokane,WA,227579,209525,0.0862,3310,68.759
103,Frisco,TX,224566,118201,0.8999,3296,68.125
104,Moreno Valley,CA,221387,194240,0.1398,4319,51.257
105,Tacoma,WA,221259,198230,0.1162,4447,49.759
106,Fontana,CA,217237,197317,0.101,5044,43.072
107,Modesto,CA,216810,203301,0.0664,5045,42.977
108,Baton Rouge,LA,216328,229374,-0.0569,2502,86.449
109,Port St. Lucie,FL,215922,164848,0.3098,1811,119.202
110,San Bernardino,CA,214706,210637,0.0193,3457,62.108
111,McKinney,TX,214035,132934,0.6101,3197,66.94
112,Fayetteville,NC,213475,208337,0.0247,1444,147.847
113,Santa Clarita,CA,211839,208822,0.0144,2994,70.755
114,Des Moines,IA,210723,205032,0.0278,2390,88.18
115,Oxnard,CA,208101,198539,0.0482,7845,26.528
116,Birmingham,AL,207235,212328,-0.024,1419,146.076
117,Spring Valley,NV,207127,178395,0.1611,6229,33.253
118,Huntsville,AL,205472,180941,0.1356,959,214.363
119,Rochester,NY,205077,210217,-0.0245,5734,35.766
120,Cape Coral,FL,204549,154731,0.322,1931,105.948
121,Tempe,AZ,203923,162323,0.2563,5101,39.977
122,Grand Rapids,MI,202767,188007,0.0785,4530,44.756
123,Yonkers,NY,201344,196407,0.0251,11178,18.012
124,Overland Park,KS,201034,174040,0.1551,2674,75.18
125,Salt Lake City,UT,200831,186643,0.076,1814,110.698
126,Amarillo,TX,199747,191249,0.0444,1963,101.744
127,Augusta,GA,199614,196375,0.0165,660,302.274
128,Columbus,GA,198969,191101,0.0412,919,216.479
129,Tallahassee,FL,197974,181438,0.0911,1970,100.474
130,Montgomery,AL,197777,205593,-0.038,1237,159.882
131,Huntington Beach,CA,197417,191296,0.032,7311,27.003
132,Akron,OH,197023,199081,-0.0103,3181,61.933
133,Little Rock,AR,196968,193972,0.0154,1642,119.992
134,Glendale,CA,196533,191720,0.0251,6450,30.471
135,Grand Prairie,TX,195651,175974,0.1118,2708,72.255
136,Aurora,IL,194873,198207,-0.0168,4330,45.009
137,Sunrise Manor,NV,193781,189372,0.0233,5806,33.376
138,Ontario,CA,193594,164377,0.1777,3875,49.963
139,Sioux Falls,SD,190583,154533,0.2333,2436,78.229
140,Knoxville,TN,188085,178258,0.0551,1905,98.713
141,Vancouver,WA,187615,167595,0.1195,3849,48.744
142,Mobile,AL,186542,194577,-0.0413,1338,139.465
143,Worcester,MA,185174,181759,0.0188,4956,37.36
144,Chattanooga,TN,184561,170574,0.082,1291,142.963
145,Brownsville,TX,183677,175362,0.0474,1388,132.322
146,Peoria,AZ,183357,154846,0.1841,1042,175.989
147,Fort Lauderdale,FL,183109,166126,0.1022,5294,34.586
148,Shreveport,LA,182616,201437,-0.0934,1701,107.361
149,Newport News,VA,180629,180888,-0.0014,2618,68.992
150,Providence,RI,180609,178029,0.0145,9813,18.406
151,Elk Grove,CA,179119,153375,0.1679,4261,42.033
152,Rancho Cucamonga,CA,178119,166226,0.0715,4440,40.117
153,Salem,OR,177803,155247,0.1453,3652,48.691
154,Pembroke Pines,FL,176823,155265,0.1388,5412,32.673
155,Santa Rosa,CA,176759,175238,0.0087,4157,42.519
156,Eugene,OR,176464,156527,0.1274,3998,44.138
157,Oceanside,CA,175710,168079,0.0454,4259,41.256
158,Cary,NC,174762,137086,0.2748,2976,58.725
159,Fort Collins,CO,174081,145268,0.1983,3044,57.182
160,Corona,CA,172652,153052,0.1281,4318,39.986
161,Enterprise,NV,171108,108481,0.5773,3347,51.129
162,Garden Grove,CA,170542,171181,-0.0037,9497,17.957
163,Springfield,MO,168568,159376,0.0577,2046,82.392
164,Clarksville,TN,161686,133486,0.2113,1637,98.796
165,Bayamon,PR,161034,185996,-0.1342,5969,26.978
166,Lakewood,CO,160441,142759,0.1239,3727,43.047
167,Alexandria,VA,160146,140729,0.138,10724,14.934
168,Hayward,CA,158089,144835,0.0915,3472,45.537
169,Murfreesboro,TN,157816,109572,0.4403,2557,61.709
170,Killeen,TX,157632,129024,0.2217,2890,54.545
171,Hollywood,FL,155689,141013,0.1041,5709,27.269
172,Lancaster,CA,155559,156824,-0.0081,1650,94.281
173,Salinas,CA,155101,150887,0.0279,6620,23.428
174,Jackson,MS,154340,173698,-0.1114,1389,111.086
175,Midland,TX,153768,111276,0.3819,2067,74.383
176,Macon County,GA,153671,155814,-0.0138,616,249.398
177,Kansas City,KS,152950,145878,0.0485,1225,124.815
178,Palmdale,CA,152921,152936,-0.0001,1442,106.076
179,Sunnyvale,CA,152495,140462,0.0857,6922,22.03
180,Springfield,MA,152160,153569,-0.0092,4775,31.869
181,Escondido,CA,151289,144440,0.0474,4054,37.314
182,Pomona,CA,151223,149107,0.0142,6580,22.982
183,Bellevue,WA,150364,128357,0.1715,4494,33.461
184,Surprise,AZ,149558,117643,0.2713,1384,108.063
185,Naperville,IL,149167,142402,0.0475,3843,38.811
186,Pasadena,TX,148215,149523,-0.0087,3401,43.586
187,Denton,TX,147993,117010,0.2648,1538,96.236
188,Roseville,CA,146594,119916,0.2225,3326,44.079
189,Joliet,IL,146572,147524,-0.0065,2285,64.152
190,Thornton,CO,145688,119391,0.2203,4059,35.891
191,McAllen,TX,144744,132093,0.0958,2203,65.698
192,Paterson,NJ,144511,146391,-0.0128,17177,8.413
193,Rockford,IL,144213,153147,-0.0583,2240,64.379
194,Carrollton,TX,143718,119564,0.202,3919,36.669
195,Bridgeport,CT,143653,144864,-0.0084,8943,16.064
196,Miramar,FL,142445,122300,0.1647,4937,28.853
197,Round Rock,TX,142418,100772,0.4133,3933,36.213
198,Metairie,LA,142135,138481,0.0264,6111,23.259
199,Olathe,KS,142119,126269,0.1255,2306,61.642
200,Waco,TX,141936,125377,0.1321,1597,88.856
